1    1.45    1.53    1.60
2    2.21    2.29    2.29
3    2.79    2.87    2.87
4    3.20    3.27    3.27
5    3.60    3.66    3.66
6    4.03    4.08    4.08
7    4.47    4.54    4.54
8    4.80    4.88    4.88
9    5.20    5.31    5.34
10   5.58    5.61    5.61
11   5.94    5.99    6.00
12   6.24    6.28    6.29
13   6.55    6.60    6.61
14   7.04    7.08    7.08
15   7.44    7.49    7.50
16   7.95    7.98    7.99
17   8.60    8.60    8.63
